prefix,itemPart,brand,sku,name,description,img,date,marketplace,notes
089102,10359,Gloria Duchin,GL2353MGJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10360,Gloria Duchin,GL2006MG,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10361,Gloria Duchin,GL2499PJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10362,Gloria Duchin,GL1471PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10363,Gloria Duchin,GL2500PJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10364,Gloria Duchin,13949/1,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10365,Gloria Duchin,13949/2,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10366,Gloria Duchin,13949/3,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10367,Gloria Duchin,13949/4,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10368,Gloria Duchin,13949/5,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10369,Gloria Duchin,13949/6,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10370,Gloria Duchin,13949/7,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10371,Gloria Duchin,13949/8,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10372,Gloria Duchin,13949/9,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10373,Gloria Duchin,13949/10,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10374,Gloria Duchin,13949/11,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10375,Gloria Duchin,13949/12,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10376,Gloria Duchin,GL2416PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10377,Gloria Duchin,GL2388PW,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10378,Gloria Duchin,GL2309PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10379,Gloria Duchin,GL2312PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10380,Gloria Duchin,GL2511PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10381,Gloria Duchin,GL2479PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10382,Gloria Duchin,GL2497PJ,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10383,Gloria Duchin,GL2462PX,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10385,Gloria Duchin,s2498epj,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
089102,10386,Gloria Duchin,s2498ebj,,,,"Thu, 01 Jan 1970 05:00:00 GMT",,
